source_name,source_link,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,latitude,longitude,country_name,admin_division_name,gazetteer_closest_point,submitted_date
Hindustan Times,http://www.hindustantimes.com/india-news/sinking-sliding-land-in-budgam-triggers-migration/article1-1332899.aspx,2015-03-30 00:00:00,Three houses had sunk,Three houses had sunk in Khansahib area.,Khansahib,10km,landslide,continuous_rain,medium,unknown,0.0,0.0,33.9344,74.65659999999998,India,Jammu and Kashmir,Srinagar,2015-05-27 22:21:38
Kathmandu Post,http://kathmandupost.ekantipur.com/news/2016-07-05/3-buried-in-gorkha-landslide-3-more-injured.html,2016-07-05 00:00:00,"Kerauja-3, Gorkha district, Nepal","Three persons were buried and three others were injured in a landslide at Kerauja-3 in Gorkha district.  The persons had gone to repair a road damaged by landslide in Keraula when they were buried by the landslide.  Sandip Ghale, 15, Chinmaya Gurung, 30, and Kanchi Maya Gurung, 45, died in the landslide, informed DSP Birendra Thapa. Punge Gurung, 40, Ukal Gurung and Sukaram Ghale, 12, are injured. The condition of Ghale is said to be critical.  The injured are brought to Machi Khola health post for treatment.  The landslide area is situated at a remote part of the district which has hampered rescue efforts. Chief District Officer Narayan Prasad Bhatta informed the district administration is preparing to inform the Home Ministry about the incident and ask for a chopper to rescue the injured.","Kerauja-3, Gorkha district, Nepal",25km,landslide,construction,medium,above_road,3.0,3.0,28.298,84.9671,Nepal,Gandaki,Ku-la-ko,2016-07-07 18:43:52
twocircles.net,http://twocircles.net/2011jul20/landslide_snaps_siligurisikkim_highway_link.html,2011-07-20 00:00:00,National Highway 31A in West Bengal's Darjeeling district,"Siliguri : The road link between Siliguri and Sikkim was snapped for about six hours Wednesday after heavy overnight rains triggered a landslide on National Highway 31A in West Bengal's Darjeeling district, police said.  Hundreds of vehicles remained stalled for six hours following the landslide, which resulted in a 20-foot wide crater on the highway, considered the lifeline to Sikkim.  ""Around 500 vehicles were stranded on both sides. However, a few vehicles took other longer routes,"" said a police officer.  The General Reserve Engineer Force personnel managed to repair the road after a six-hour effort.  ""The road was opened at 1.40 p.m.,"" said the officer.  National Highway 31A runs along the banks of the Teesta river linking the Sikkim capital Gangtok with Sevoke, near Siliguri, on National Highway 31.",National Highway 31A in West Bengal's Darjeeling district,25km,landslide,rain,small,unknown,0.0,,27.1141,88.4658,India,Sikkim,Kalimpong,2014-04-01 00:00:00
www.business-standard.com,http://www.business-standard.com/article/pti-stories/j-k-couple-killed-in-landslide-113081900674_1.html,2013-08-19 00:00:00,Dara Gutli Village Of Uri Sector In North Kashmir'S Baramulla District,"A couple was killed today in north Kashmir's Baramulla districtin a landslide triggered by heavy rains. Muneer Ahmad (44) and his wife Razeena Begum (38) died on the spot after being hit by the boulders rolling down the hill. The mishap took place in Dara Gutli village of Uri sector, some 101 kms from here, officials said. Their bodies were later retrieved by the rescue party comprising police and locals, they said. Heavy rains have lashed parts of north Kashmir including Uri, forcing closure of the Srinagar-Muzaffarabad road connecting Srinagar with Pakistan-occupied Kashmir (PoK), the officials said.",Dara Gutli Village Of Uri Sector In North Kashmir'S Baramulla District,25km,landslide,tropical_cyclone,medium,unknown,2.0,,34.0942,74.02259999999998,India,Jammu and Kashmir,Uri,2014-04-01 00:00:00
news.oneindia,http://news.oneindia.in/2010/07/04/landslidedisrupts-toy-train-services-in-darjeelingdisappo.html,2010-07-04 00:00:00,"Toy Train rails between Siliguri and Darjeeling, West Bengal","The services of Darjeeling Himalayan Railway (DHR), also known as Toy Train, has been suspended due to a landslide in the hills, disappointing hundreds of tourists coming here from different parts of the country.  The landslide took place on the National Highway 55 severely damaging the narrow gauge track on which the train runs.  But the local rail authority have not taken any initiative to inform the tourists and they continued booking tickets for the toy train journey, leaving tourists angry and disappointed when they learn about disruption of services.","Toy Train rails between Siliguri and Darjeeling, West Bengal",exact,landslide,rain,medium,below_road,0.0,,26.8712,88.3052,India,West Bengal,Kurseong,2015-03-04 00:22:19
Dawn,https://www.dawn.com/news/1342282/tourist-killed-in-kaghan-mudslide,2017-06-29 00:00:00,Fatal mudslide in Kaghan valley,"Mudslide kills one tourist and injures another in Kaghan valley, Pakistan","Lambi Patti (??), Kaghan Valley, Pakistan",25km,mudslide,rain,medium,natural_slope,1.0,1.0,34.788609480000005,73.51484236,Pakistan,North-West Frontier,Lari,2017-06-30 13:20:27
europe.chinadaily,http://europe.chinadaily.com.cn/china/2012-05/03/content_15200008.htm,2012-05-03 00:00:00,"National Rd 318, Lhasa, Tibet","Rain-triggered landslides and strong winds cut an international highway in Southwest China's Tibet autonomous region once again on Thursday just after traffic resumed a day earlier. The landslides occurred early Thursday morning on the No 318 National Highway running from the regional capital of Lhasa to Kathmandu, capital of Nepal, with three large boulders blocking the road, a traffic officer at the scene said.More than 10 road maintenance workers equipped with two bulldozers are working to clear the road, which was temporarily reopened Wednesday after being blocked by previous landslides that occurred at 8 am Tuesday.No casualties have been reported.","National Rd 318, Lhasa, Tibet",25km,landslide,downpour,large,unknown,,,29.4903,90.9352,China,Xizang,La-Sa Ho,2014-04-01 00:00:00
The Kathmandu Post,http://kathmandupost.ekantipur.com/news/2017-07-12/landslide-obstructs-narayangadh-muglin-road-section-20170712172012.html,2017-07-12 16:00:00,Landslide along Narayangadh-Muglin road,"Landslide following continuous rains obstructs road, hundreds of vehicles stranded. Expected to be cleared after ~12hrs elapse since landslide.","Kabilas, Narayani",10km,landslide,continuous_rain,medium,above_road,0.0,0.0,27.79280733,84.43347027,Nepal,Narayani,Narayangarh,2017-07-12 14:05:17
myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=21518,2010-07-26 00:00:00,Baglung-Burtibang(Burtiwang) rd,Baglung-Burtibang and Baglung-Kushmishera roads have also been obstructed.,Baglung-Burtibang(Burtiwang) rd,25km,landslide,downpour,medium,unknown,0.0,,28.3034,83.3773,Nepal,Dhawalagiri,Nisi Khola,2014-04-01 00:00:00
Badal Nepal,http://badalnepal.us/62589#sthash.gr7GwNWn.dpbs,2016-07-15 23:00:00,"Ghaiyabari, Tapethok, Taplejung district, Nepal","A woman has gone missing in her attempt to escape a mudslide at a steep slope at Ghaiyabari, Tapethok VDC in Taplejung district.Manita Rai, 28, from Tapethok-8 has gone missing while trying to escape the mudslide taking place above her house, Nupu Sherpa, a local said.The place is two days’ trek from the district headquarters. Rai had run away from her house when the mudslide started taking place right above the house all of a sudden last night. There are five houses at the place.Police have been mobilized to the place from the Siwa police post, Chief of the Taplejung District Police Office, Ram Bahadur KC, said. RSS","Ghaiyabari, Tapethok, Taplejung district, Nepal",25km,mudslide,rain,medium,natural_slope,0.0,0.0,27.5138,87.8086,Nepal,Mechi,Libang,2016-07-18 17:55:41
x.dawn.com,http://x.dawn.com/2013/05/28/landslides-block-kkh/,2013-05-25 00:00:00,"Karakoram Highway, Diamer And Kohistan Districts","Traffic on Karkuram Highway remains suspended for last two days as landslides and rolling boulders triggered by heavy rain blocked the road at several places. Hundreds of vehicles, including trucks and buses, were stranded at many points in Diamer and Kohistan districts, inconveniencing the commuters. The National Highway Authority officials said machinery had been moved to clear the road and get the traffic restored. The road may be cleared for traffic within two days, they said. Heavy rains also caused damage to standing crops in remote valleys where wheat crop was about to be harvest. Power supply was restored in some areas after 20 hours, officials said.","Karakoram Highway, Diamer And Kohistan Districts",unknown,landslide,downpour,medium,unknown,0.0,,35.2959,73.20999999999998,Pakistan,North-West Frontier,Biaso,2014-04-01 00:00:00
India Times,http://www.indiatimes.com/news/india/caught-in-a-landslide-near-manali-a-group-of-brave-travellers-builds-road-helps-others-325022.html,2017-07-02 00:00:00,Landslide temporarily strands travelers near Langza,"Landslide blocks road linking Langza with Manali, travelers stranded + forced to repair  road themselves","Langza, Lahaul and Spiti, Himachal Pradesh, India",5km,landslide,rain,small,above_road,0.0,0.0,32.26186432,78.0685005,India,Himachal Pradesh,Luling,2017-07-03 15:17:49
Daily India,http://www.dailyindia.com/show/176095.php/Frequent-landslides-in-Bengal-Sikkim-damage-highways,2007-09-20 00:00:00,"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",Roads were in deplorable condition after multiple days of heavy rain caused landslides in area,"Multiple places along 31A, Tarkhola area in Kalimpong district and Sevoke in WB",50km,landslide,rain,medium,unknown,,,27.0875,88.4572,India,West Bengal,Kalimpong,2014-04-01 00:00:00
dailyhunt,https://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/j+k+highway+closed+due+to+landslide+over+100+vehicles+stranded-newsid-98012662,2018-09-27 00:17:22,Ramban Landslide,Massive landslide occurred on the Jammu-Srinagar National Highway between Banihal and Ramban stranding hundreds of vehicles.," Jammu -Srinagar National Highway, between Ramban and Baniha ",10km,landslide,unknown,medium,above_road,,,33.38281992,75.20064617,India,Jammu and Kashmir,Gund,2020-06-18 00:17:23
www.hindustantimes.com,http://www.hindustantimes.com/India-news/HimachalPradesh/Landslides-bring-traffic-to-halt-in-Sirmaur/Article1-1077377.aspx,2013-06-16 00:00:00,"National Highway 72-B, Between Paonta Sahib And Sillai, Sirmaur District, Himachal Pradesh","Several roads leading to remote areas of Sirmaur district were reportedly blocked due to landslides triggered by heavy rain in the district on Sunday. National Highway-72 B between Paonta Sahib and Shillai remained blocked for many hours; the traffic was not restored till the evening. Twelve roads in remote areas of the district remained blocked throughout the day. Though 20 cattle heads have reportedly been washed away in flashfloods, no loss of life has been reported so far. Deputy commissioner Priyatu Mandal has issued an advisory, asking people living along Yamuna river and other rivulets to be cautious.","National Highway 72-B, Between Paonta Sahib And Sillai, Sirmaur District, Himachal Pradesh",25km,landslide,rain,medium,unknown,0.0,,30.5728,77.6521,India,Himachal Pradesh,Chuharpur,2014-04-01 00:00:00
thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Blocked+roads+lead+to+food+crunch+in+east&NewsID=294176,2011-07-03 00:00:00,Shut down Gaighat-Sanue road sections in Udayapur,"DIKTEL: With vehicular movement obstructed for the past one week due to incessant rains and resulting landslides, eastern hilly districts of Khotang, Bhojpur, Okhaldhunga, Solukhumbu and Udayapur are facing a shortage of foodstuff. Ganesh Shahi, vice-chairman of the Transport Entrepreneurs’ Union Khotang, told this daily that landslips have brough traffic to a halt in Khotang, resulting in losses worth millions.  In Khotang, the monsoon havoc has shut Jayaram-Diktel, Diktel-Lamidanda, Hurlung Jalapa and Diktel-Bhojpur road sections for the past one week. No different is the situation of Bhojpur-Chyandanda, Bhojpur-Leguwa, Satighat-Dingla road sections in Bhojpur, Ghurmi-Okhaldhunga, Okhaldhunga-Rumjatar, Okhaldhunga-Solu in Okhaldhunga and Gaighat-Sanue road sections in Udayapur.  With the roads rendered inoperable, hundreds of passengers have been stranded. Bidur Luitel, chairman of the Transport Entrepreneurs’ Union Khotang, said hundreds of vechicles have been stuck on the roads due",Shut down Gaighat-Sanue road sections in Udayapur,5km,landslide,continuous_rain,medium,unknown,0.0,,26.8998,86.7014,Nepal,Sagarmatha,Sun  Kosi,2014-04-01 00:00:00
mrnewsbreaker,http://www.mrnewsbreaker.com/monsoon-rain-in-gilgit-baltistan-causes-landslides-kkh-closure-and-casualies/,2010-08-20 00:00:00,"Astore, Gilgit-Baltistan","Heavy rain caused hundreds of foreigners in Gilgit Baltistan KKH to be stranded  Landslides in Ghizer, Hunza-Nagar, Astore and Baltistan blocked roads linking the districts with the rest of the country.  Haidri also said: there are no flights going out of Gilgit Balistan for more than seven days.  Sunday, August 22nd, 2010 at 3:45 pm. Uncertain date: 16 - 22nd","Astore, Gilgit-Baltistan",unknown,landslide,downpour,medium,unknown,0.0,,35.3539,74.85949999999998,Pakistan,Northern Areas,Astar,2014-04-01 00:00:00
dnaindia,http://www.dnaindia.com/india/report_heavy-showers-trigger-landslides-in-maharashtra-himachal-pradesh_1414542,2010-07-19 00:00:00,"road between Jumla and Surkhet, Dailekh and Kalikot districts, Karnali and Bheri provinces","JUMLA, July 26: With its only road to Surkhet blocked by landslides, Jumla has been cut off from the rest of the country, causing fear of food scarcity among villagers.  The 232 km road which connects Jumla with Surkhet has not been cleared even one week after massive landslides blocked vehicular movements. Landslides have caused disturbances to vehicular movements in over a dozen parts of the road.  The road in Dailekh´s Kitti and Kalikot´s Dahikhola, Pili, Sherighat, Sherawada, Rachuli and Bali has been blocked due to landslides. According to police, six trucks loaded with goods have been trapped between massive landslides.","road between Jumla and Surkhet, Dailekh and Kalikot districts, Karnali and Bheri provinces",50km,landslide,monsoon,medium,unknown,0.0,,29.0399,81.71909999999998,Nepal,Karnali,Dhimni,2014-04-01 00:00:00
The Himalayan Times,http://thehimalayantimes.com/nepal/2-of-single-family-killed-in-tehrathum-landslide/,2015-10-08 02:00:00,"Khamlalung 57500, Nepal","Two persons of a single family died and two others were critically injured after a landslide buried a house in khamlalung VDC-6 of Terhathum district in the wee hours of Thursday.  According to the Eastern Regional Police Office, Biratnagar, the deceased have been identified as Lokendra Kurungwang (48) and his son Sangam Kurungwang (8).  Police said that they died on the spot.  The injured have been identified as Kurungwang’s wife Reshma (46) and daughter Sandhya (16).  They are receiving treatment at a local hospital, police informed.","Khamlalung 57500, Nepal",5km,landslide,rain,medium,unknown,2.0,2.0,27.2625,87.60169999999998,Nepal,Koshi,Libang,2016-07-07 18:28:29
myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=8789,2009-08-17 23:00:00,"Amargadhi-5, Dadeldhura","Ganesh Thapa, 3, of Amargadhi-5 also died on the spot while four members of his family were injured when his house collapsed in the landslide on Monday night.","Amargadhi-5, Dadeldhura",25km,landslide,downpour,medium,unknown,1.0,,29.3083,80.5792,Nepal,Mahakali,Dhindi,2014-04-01 00:00:00
myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=8856,2009-08-20 00:00:00,Prithvi Highway at Bandipur-8 in Tanahu district,"Landslide has blocked a section of the Prithvi Highway at Bandipur-8 in Tanahu district, TV channels reported. As a result, travelers have been stranded on either side of the affected spot on Friday. The workers from the Road Department are trying to clear the debris on the highway that connects Kathmandu to the lake city of Pokhara.Incessant rain over the past few weeks have caused havoc. Floods and landslides have killed people and cattle, swept away houses, inundated farms and blocked roads and highways at many places across the country",Prithvi Highway at Bandipur-8 in Tanahu district,5km,landslide,continuous_rain,medium,unknown,0.0,,27.9504,84.3075,Nepal,Gandaki,Chepe Ghat,2014-04-01 00:00:00
dailyhunt,https://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/j+k+highway+closed+due+to+landslide+over+100+vehicles+stranded-newsid-98012662,2018-09-27 20:47:50,Maroog Landslide,Landslide occurred on the Jammu-Srinagar National Highway at Maroog (Marog) between Banihal and Ramban stranding hundreds of vehicles.,"NH-44, Maroog, Banihal, Ramban, Jammu & Kashmir",1km,landslide,unknown,medium,above_road,,,33.264400460000005,75.18641667,India,Jammu and Kashmir,Chaunkri,2020-08-26 20:47:51
The Tribune,http://www.tribuneindia.com/news/himachal/woman-kids-die-in-theog-house-collapse/111662.html,2015-07-26 00:00:00,"Klibi Patwar, Theog",A woman labourer and her two children were buried alive when their makeshift house collapsed following a landslide by incessant rain in Klibi Patwar circle at Theog of Shimla district early this morning while landslides blocked roads at several places in interior areas.,"Klibi Patwar, Theog",5km,landslide,continuous_rain,medium,unknown,3.0,2.0,31.1263,77.3525,India,Himachal Pradesh,Gannja,2015-07-27 18:52:57
India times,http://timesofindia.indiatimes.com/World/Rest_of_World/14_killed_in_Nepal_due_to_landslides_triggered_by_heavy_downpour/articleshow/2310758.cms,2007-08-24 00:00:00,"Argha Village, Pyuthan District","multiple events in region, likely within 25 km ","Argha Village, Pyuthan District",25km,landslide,rain,medium,unknown,6.0,,27.9167,83.08329999999998,Nepal,Lumbini,Rajiya,2014-04-01 00:00:00
thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Landslide+halts+garbage+disposal+in+Okharpauwa&NewsID=256375,2010-09-02 00:00:00,"near landfill near Sisdole and Okharpauwa, Kathmandu valley","2010-09-03 4:28 PM  KATHMANDU: A landslide triggered by incessant rainfall in Thulokhola on the border of Nuwakot district has affected disposal garbage produced in Kathmandu Valley.  The Kathmandu Metropolitan City (KMC) resumed garbage collection, which was disrupted by locals of Sisdole and Okharpauwa for around two weeks, from yesterday deploying security force in the landfill site. However, garbage disposal has been again disrupted due to the landslide.  KMC Executive Officer Ananda Raj Pokhrel said KMC staffs have been sent to remove the landslide obstruction as KMC has been clearing small landslides in different places leading to the landfill site for the garbage disposal.","near landfill near Sisdole and Okharpauwa, Kathmandu valley",5km,landslide,downpour,medium,unknown,0.0,,27.7745,85.2401,Nepal,Bagmati,Kisipidi,2014-04-01 00:00:00
The Kathmandu Post,http://kathmandupost.ekantipur.com/news/2017-07-02/floods-landslide-claim-four-lives.html,2017-06-30 00:00:00,Landslide threatens Matepani Gupta monastery,"Heavy rains cause landslide near gate of monastery, base weakened","Matepani Gupta monastery, Pokhara, Nepal",exact,landslide,downpour,small,natural_slope,0.0,0.0,28.21676766,84.00622259,Nepal,Gandaki,Gate,2017-07-03 15:17:49
thaindian,http://www.thaindian.com/newsportal/enviornment/landslide-blocks-hindustan-tibet-road_10056629.html,2008-06-03 00:00:00,Hindustan-Tibet National Highway near Matiana village,"occurred in evening, showers hampered clean up efforts",Hindustan-Tibet National Highway near Matiana village,25km,landslide,rain,medium,unknown,,,31.2077,77.193,India,Himachal Pradesh,Simla,2014-09-11 17:48:42
Telegraph India,http://www.telegraphindia.com/1070911/asp/siliguri/story_8300563.asp,2007-09-10 00:00:00,Rhodong village near Rhey in East Sikkim,"destroyed a house, killed 1 and injured 1",Rhodong village near Rhey in East Sikkim,10km,landslide,rain,medium,unknown,,,27.3425,88.62359999999998,India,Sikkim,Tista,2014-04-01 00:00:00
thehimalayantimes,http://www.thehimalayantimes.com/fullNews.php?headline=Landslide+obstructs+Ridi-Wamitaksar+road&NewsID=258074,2010-09-17 00:00:00,"Ullikhola(?), Ridi-Wamitaksar rd, Gulmi district","2010-09-17 11:32 AM  GULMI: A landslide triggered by incessant rainfall for last four days has disrupted the Ridi-Wamitaksar road of Gulmi district.  The rain caused a landslide at Ullikhola obstructing vehicular movement along the road, said the district police office, Gulmi.","Ullikhola(?), Ridi-Wamitaksar rd, Gulmi district",25km,landslide,downpour,medium,unknown,0.0,,28.058,83.3588,Nepal,Lumbini,Nisi Khola,2014-04-01 00:00:00
Dailyhunt,http://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/landslide+at+jammu+srinagar+national+highway-newsid-66520969,2017-04-15 15:00:00,Landslide blocks road at Drabshalla,"Landslide blocks road in both directions, area had experienced similar landslides around a week earlier","Drabshalla, Lass, Jammu & Kashmir, India",1km,landslide,rain,medium,above_road,0.0,0.0,33.17598419,75.81088889,India,Jammu and Kashmir,Shandero,2017-07-28 13:34:24
eKantipur,http://www.ekantipur.com/2014/06/20/top-story/10-killed-in-separate-landslides-3-missing/391087.html,2014-06-19 23:00:00,Pyuthan District,"Meanwhile, at Khung-8 in Pyuthan district, three people died and one anther has gone missing in a landslide on Thursday night.",Pyuthan District,25km,landslide,rain,medium,unknown,3.0,0.0,28.0054,82.68,Nepal,Rapti,Swargdwar,2014-08-24 00:00:00
hindu,http://www.hindu.com/thehindu/holnus/002200803311141.htm,2008-03-30 00:00:00,Biama area of Khalsi tehsil in Leh district,1 also missing,Biama area of Khalsi tehsil in Leh district,50km,landslide,rain,medium,unknown,2.0,,34.219,77.26649999999998,India,Jammu and Kashmir,Machakka,2014-04-01 00:00:00
India times,http://timesofindia.indiatimes.com/India/Flood-hit_Tripura_Mizoram_remain_cut_off_for_seventh_day/articleshow/2380211.cms,2007-09-11 00:00:00,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","on highway, blocking road","Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",unknown,landslide,rain,medium,unknown,,,25.52,91.27,India,Meghalaya,Nongstoin,2014-04-01 00:00:00
Business Standard,http://www.business-standard.com/article/news-ani/school-building-damaged-due-to-landslide-in-jammu-114092600687_1.html,2014-09-26 00:00:00,Surankote in Jammu and Kashmir,A school building was damaged on Friday due to a landslide in Surankote in Jammu and Kashmir.,Surankote in Jammu and Kashmir,unknown,landslide,continuous_rain,medium,unknown,0.0,0.0,33.0365,74.4889,India,Jammu and Kashmir,Dhangar,2014-10-17 21:42:15
ndtv,http://www.ndtv.com/article/cities/jammu-srinagar-national-highway-blocked-due-to-landslide-307089,2012-12-11 00:00:00,"Kashimir Valley, Jammu and kashmir","The 300-kilometre Jammu-Srinagar national highway, linking Kashmir Valley to rest of the country, was on Tuesday blocked due to major landslide in Ramban district. Over 200 vehicles were stranded on both sides of the route due to a major landslide triggered by rains in Seri belt of Ramban on Tuesday evening, a police officer said.","Kashimir Valley, Jammu and kashmir",25km,mudslide,rain,medium,unknown,,,32.9522,75.1533,India,Jammu and Kashmir,Udhampur,2014-04-01 00:00:00
Landslide Blog,http://blogs.agu.org/landslideblog/2014/04/28/upper-madi-1/,2014-04-25 13:00:00,Upper Madi hydroelectric project,On Friday a landslide occurred at the portal to one of the tunnels being constructed as part of the Upper Madi project.,Upper Madi hydroelectric project,5km,landslide,unknown,medium,mine,3.0,0.0,28.3511,84.11759999999998,Nepal,Gandaki,Ma-hsun-ti Ho,2015-01-07 17:58:29
The Indian Express,http://indianexpress.com/article/india/landslide-damages-dozen-houses-in-sringar-minor-injured-jk-rain-flood-4603635/,2017-04-07 02:00:00,Landslide in Gagribal,"Landslide in Gagribal neighborhood of Srinagar. Article: A dozen houses were damaged and a minor boy injured in a landslide in Dalgate area of the city, triggered by incessant rains across Kashmir over past three days. The landslide occurred at Gagribal, in the foothills of Shankaracharya hill","Gagribal, Srinagar, Jammu & Kashmir",1km,landslide,continuous_rain,medium,natural_slope,0.0,1.0,34.08325186,74.84254061,India,Jammu and Kashmir,Pampur,2017-08-03 13:19:54
usa.chinadaily.com.cn,http://usa.chinadaily.com.cn/china/2013-01/13/content_16108915.htm,2013-01-12 00:00:00,"Karakoram Hwy, Dasu, Pakistan","A man was killed when a landslide hit a hotel near Dassu, the headquarters of Kohistan district. It was learnt that the landslide also blocked the Karakoram Highway (KKH) besides destroying two trucks and two shops. The slain man was identified as Mohammad Shahzad. The blockade of the KKH caused difficulties to the passengers as hundreds of vehicles remained stranded for hours on both sides of the road.","Karakoram Hwy, Dasu, Pakistan",5km,landslide,rain,medium,unknown,1.0,,35.2746,73.2235,Pakistan,North-West Frontier,Biaso,2014-04-01 00:00:00
economictimes.indiatimes,http://economictimes.indiatimes.com/News/Leh-toll-145-cloudburst-in-Kargil-town/articleshow/6282200.cms,2010-08-06 00:30:00,"Choglamsar(Choklamsar) village, Jammu and Kashmir","This village was the hardest hit.The cloudburst occurred at Choglamsar village, which is situated above Leh town, causing flash floods and mudslides that washed away government offices, paramilitary camps and residential homes. ""Speaking to TOI on phone from Leh, Arya, who was sleeping in a house in Choglamsar village when the entire area abruptly began to move, said: ""This village is 6km from Leh on a hillock formed by mud itself. I woke up when I felt massive vibrations and found that the whole hill-side was moving."" The loose soil had softened further due to torrential rains. ""This is a rare geological phenomenon, and though landslides are common, mud creeps like this are unheard of,"" said Arya, who holds a Guinness Book of World Record for discovering ground water at an altitude of 11,000 ft in Ladakh. Describing the sheer size of the mudslide, Arya said: ""Its dimensions make it so scary: it was about 20meter high and several kilometers wide."" All the houses coming in its wa","Choglamsar(Choklamsar) village, Jammu and Kashmir",5km,mudslide,downpour,very_large,unknown,0.0,,34.1114,77.5874,India,Jammu and Kashmir,Leh,2014-09-11 17:34:56
pakobserver.net,http://pakobserver.net/detailnews.asp?id=74968,2011-02-06 00:00:00,"Paras, Khyber Pakhtunkhwa","Meanwhile scenic Kaghan Valley was also cut off with the rest of the country due to massive land slides at Paras, Ghanool and other localities following two-days of continued rainfall. Population comprising hundreds of families was stranded there as well.   ...  The ongoing rain spell and snowfall in Gilgit-Baltistan and upper parts of Khyber Pakhtunkhawa (KP) has multiplied the grievances of local people and commuters as land slides have closed the Karakoram Highway at several places and other link roads leaving the people stranded and creating commodities and fuel shortage.  Rain continued in Abbottabad, Galiat, Murree and adjoining areas while mountainous parts received snowfall resultantly bringing mercury below freezing point.  Pakistan Meteorological Department has predicted that rain spell and snowfall in mountainous regions of KP and GB would continue during next couple of days. Karakurram Highway, the only land route connecting Gilgit-Baltistan (GB) with rest of the country an","Paras, Khyber Pakhtunkhwa",10km,mudslide,downpour,medium,unknown,0.0,,34.6534,73.43739999999998,Pakistan,North-West Frontier,Lari,2014-04-01 00:00:00
eKantipur,http://www.ekantipur.com/2015/06/21/national/highways-await-repair-face-landslide-risk/406826.html,2015-06-18 00:00:00,at Mauribhir along the Pokhara -Baglung Highway,A woman was killed as landslides at Mauribhir along the Pokhara -Baglung Highway hit a jeep on Thursday.,at Mauribhir along the Pokhara -Baglung Highway,50km,landslide,monsoon,medium,above_road,1.0,0.0,28.2974,83.79999999999998,Nepal,Gandaki,Chanarung,2015-06-24 19:50:31
myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=9458,2009-09-05 23:00:00,"Hulakdanda village of Bhaluwajor-2 in Ramechhap district, Janakpur Zone",Two people were killed and three injured after a landslide struck Hulakdanda village of Bhaluwajor-2 in Ramechhap district on Saturday night.,"Hulakdanda village of Bhaluwajor-2 in Ramechhap district, Janakpur Zone",10km,landslide,downpour,medium,unknown,2.0,,27.3667,86.08679999999998,Nepal,Janakpur,Janakpur,2014-04-01 00:00:00
Nepal News,http://www.nepalnews.com/archive/2008/aug/aug31/news05.php,2008-08-30 00:00:00,"Chokchissapani VDC-9, Tanahun District",multiple landslides occurred throughout district,"Chokchissapani VDC-9, Tanahun District",5km,landslide,downpour,medium,unknown,3.0,,28.10025822,84.42143526000001,Nepal,Gandaki,Bartar,2014-04-01 00:00:00
LEADPakistan,http://leadpakistan.com.pk/news/landslide-blocks-kkh-mansehra-naran-jalkhad-road/,2017-01-08 00:00:00,Mansehra-Naran-Jalkhad Road Landslides and Heavy Snowfall in Kaghan Valley,The police were put on high alert in Kaghan valley as the upper parts of Hazara division received heavy snowfall on the second consecutive day on Thursday. The Mansehra-Naran-Jalkhad road was blocked at various places in the valley because of landslides and heavy snowfall.,"Kaghan Valley, Pakistan",5km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,34.57829667,73.3605212,Pakistan,North-West Frontier,Lari,2017-11-08 19:12:18
Dawn,https://www.dawn.com/news/1322306,2017-03-22 00:00:00,Karakoram Highway Boulders Injure 3 Officials,Three officials of the forest department sustained critical injuries when heavy boulders fell on their jeep in Chuchang area of upper Kohistan on Wednesday. Heavy boulders from a mountain along with the Karakoram Highway rolled down on their jeep crushing it completely.,"Karakoram Highway near Chuchang / Chochung / Chochang area, Kohistan, Pakistan",10km,rock_fall,unknown,small,above_road,0.0,3.0,35.46378481,73.24949042999998,Pakistan,North-West Frontier,Sazin,2017-09-26 19:32:35
The Himalayan Times,https://thehimalayantimes.com/nepal/landslide-near-kalikhola-sweeps-cops-van-truck-into-trishuli-river/,2017-06-23 01:00:00,Fatal landslide on Narayabgadh-Muglin Road in Kalikhola,"Landslide after incessant rainfall on Narayangharh-Muglin road buries police van returning from inspecting another landslide. 4 policeman killed as van swept into Trishuli River. Landslide also sweeps truck into river, driver unharmed and passenger hospitalized.","Kalikhola (??), Narayani Zone, Nepal",25km,landslide,continuous_rain,medium,above_road,4.0,1.0,27.8080337,84.43352419,Nepal,Narayani,Narayangarh,2017-07-07 13:16:29
